Order ID,Order Date,Product,Price,Currency,Qty,Buyer email,Status,Buyer question
34FXQYWLDP,2026-06-05 18:39:53,Content Planner Pro — Notion Template,19.00,USD,1,theoromero@icloud.com,Completed,
UXJKXA4S5G,2026-06-06 20:47:34,Content Planner Pro — Notion Template,19.00,USD,1,theocastillo@hotmail.com,Completed,
RYGEKW4G26,2026-06-07 13:44:04,Minimal Finance Tracker — Notion Template,9.00,USD,1,claire.moreau84@gmail.com,Completed,
SL8H6XEDSJ,2026-06-08 10:35:59,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,isla.hughes@gmail.com,Completed,
SK3Y3DL8DJ,2026-06-09 09:34:55,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,islakeller@icloud.com,Completed,
4BMBTJ3YKC,2026-06-11 19:31:30,StudioNova Mega Bundle — All Templates + Ebook,49.00,USD,1,oscarschmidt@hotmail.com,Completed,
LVVTNRL58V,2026-06-12 19:56:50,Content Planner Pro — Notion Template,19.00,USD,1,avafoster@gmail.com,Completed,
D87T2LQ7J3,2026-06-13 10:05:05,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,islakeller@icloud.com,Completed,
ZSZDKK68EW,2026-06-14 13:30:37,Minimal Finance Tracker — Notion Template,9.00,USD,1,liam.romero57@icloud.com,Refunded,
T7396CE86Z,2026-06-15 11:45:33,Freelance Client Hub — Notion Template,29.00,USD,1,isla.hughes@gmail.com,Completed,
7WDG6RAFG6,2026-06-16 19:52:42,Freelance Client Hub — Notion Template,29.00,USD,1,isla.hughes@gmail.com,Completed,
BKSDZN2FL2,2026-06-17 09:01:09,Freelance Client Hub — Notion Template,29.00,USD,1,elijah.quinn38@icloud.com,Completed,
3MDJT53CAL,2026-06-18 12:58:10,Lightroom Mobile Preset Pack — 50 Presets,14.99,USD,1,claire.moreau84@gmail.com,Completed,
PV7Y2GWGMB,2026-06-18 21:25:43,The Creator Launch Playbook — Ebook (PDF),9.00,USD,1,liam.reid@proton.me,Completed,
H5V6SDRZ3C,2026-06-19 16:41:04,Minimal Finance Tracker — Notion Template,9.00,USD,1,zoe.tanaka@hotmail.com,Completed,
